km,brand,model,year,fuel_type,power,cylinder_capacity,transmission,pollution_norm,gearbox,body_type,number_of_doors,color,number_of_seats,color_option,vin,country_of_origin,owned,vehicle_condition,co2_emission,path_images,price,ad_id
96 000 km,BMW,X5,2019,Diesel,265 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Negru,5,Metalizata,,Romania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IndxbTY2ODE1eGczNzEtQVVUT1ZJVFJPIn0.gg-TvHgAqAMnA9lMJC6JBiB7gEPflGynKIFpvn2MPt4/image;s=320x240,59 479,6dd61a21-4fd0-49de-9f04-5e90e342480a
362 000 km,Audi,A6,2012,Diesel,204 CP,2 967 cm3,4x4 (automat),Euro 5,Automata,Sedan,5,Negru,5,Metalizata,,Germania,,Second hand,111 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im82dGh1bGc0Zzh1czItQVVUT1ZJVFJPIn0.hYzJn_kHLVrH0d7MDXFLQcEIXoo7iSWlGovWp0Y-a_A/image;s=320x240,10 750,dd2f4bb0-96b7-4c04-827e-998933cea201
57 000 km,Mercedes-Benz,GLC,2020,Benzina,197 CP,1 991 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Negru,5,,Da,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImltNjd4MXZnNWk3ZTItQVVUT1ZJVFJPIn0.8Cuj4K_QgyyvCDTBY4fsqkkzrkI55XDDSuvQOIox4z0/image;s=320x240,37 500,6eda1006-a882-42e9-be8b-df4bba650f61
12 300 km,Porsche,Cayenne Coupe,2022,Hibrid,550 CP,3 996 cm3,,Euro 6,Automata,SUV,5,Negru,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im41ZDJ2ZzZxcmd6bzMtQVVUT1ZJVFJPIn0.qbzo2WCIHqGqeBBGPSSatYxYJpvhVhuxUWDG6hTWA9U/image;s=644x461,195 026,37426883-0827-49c6-88fd-b65d997ff6d4
28 000 km,Mini,Cooper SE,2020,Electric,184 CP,,,Euro 6,Automata,Masina mica,3,Gri,5,Mat,Da,Franta,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InpxczVtemJzbGE1azEtQVVUT1ZJVFJPIn0.qN29SjUHzdH2KZq4D5dKOxiW4XG_aSo5YCclc2j6_Z0/image;s=320x240,22 900,ddb669b4-a3ec-4066-be17-bf507dbc2b4c
35 800 km,BMW,Seria 3,2020,Diesel,190 CP,1 995 cm3,,,Automata,Sedan,4,Albastru,5,Metalizata,Da,Romania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjVtMHQzMXF3cmxscDEtQVVUT1ZJVFJPIn0.2CWzO2Nmvaa-FjR0t-WNZqb8Iu9piuBuflUOZL5KtsY/image;s=320x240,33 000,05659615-8abe-4f7b-8911-2a2aa7cf8762
92 435 km,Nissan,Qashqai,2018,Benzina,115 CP,1 197 cm3,Fata,,Manuala,SUV,4,Negru,5,,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im11dG4zYWF6Yzh3Zy1BVVRPVklUUk8ifQ.EZuK99dQvCeaN6jhTIMuzxHjliBTFgRdrqk_f3ID4gE/image;s=320x240,16 749,cd797704-ff8b-4a92-a3bf-d0fdf0806676
56 239 km,BMW,X3,2020,Hibrid,184 CP,1 998 cm3,4x4 (manual),Euro 6,Automata,SUV,5,Albastru,5,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InRlYmhqMzU0OGxvNDItQVVUT1ZJVFJPIn0.taMDEBZaedJN4LqBi4MiGNvvk4cjIJdJVgSwiLcNNm0/image;s=644x461,36 950,f2975214-d617-45ef-9eb1-59b8c8ef5ec0
20 km,Toyota,Highlander,2023,Hibrid,190 CP,2 487 cm3,,Euro 6,Automata,SUV,5,Albastru,,Perlat,,,Da,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjVlcWVjNTR1ZHhoMDItQVVUT1ZJVFJPIn0.XXfCs3I8NFYBQLEks6astti9kIODwdK7TQ9-h8SrSlY/image;s=644x461,66 950,0b0ab5b5-bb31-4f5e-958b-40cc02aa79da
74 960 km,Volkswagen,Golf,2019,Diesel,115 CP,1 598 cm3,Fata,Euro 6,Manuala,Compacta,5,Rosu,5,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InpheWZqdDF6YWY1OTItQVVUT1ZJVFJPIn0.9yJzVxN5GdZRnlvaBfXcDe_dLFshzf4CObWAxd-8Fwo/image;s=644x461,15 399,b78865ef-8365-4957-8262-652eec52c450
20 km,Audi,Q5,2023,Diesel,204 CP,1 968 cm3,,Euro 6,Automata,SUV,5,Alb,,Metalizata,,,Da,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InNrc3QyMGlicTJtLUFVVE9WSVRSTyJ9.C0PQnNvhsTUXHmxwaLG-u-wSh3U0SiSX94k6tiKnCGw/image;s=644x461,67 675,30ddcc5d-8466-438d-b5e8-8abe0cc71ece
20 km,Audi,Q5,2023,Diesel,204 CP,1 968 cm3,,Euro 6,Automata,SUV,5,Alb,,Metalizata,,,Da,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImQwZWY1ZHlieGphcy1BVVRPVklUUk8ifQ.LHEVA2Q7ZDTopTptkje44O2fJECdmwA7o4r6GDx5us0/image;s=644x461,69 799,a1a52eb1-1221-46ab-b151-5177df6090a4
20 km,Audi,Q5,2023,Diesel,204 CP,1 968 cm3,,Euro 6,Automata,SUV,5,Alb,,Metalizata,,,Da,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjQzNGhteXNkbTNhajEtQVVUT1ZJVFJPIn0.QqbS78hiS5WeNfOrBMOaWKNEjrAh8Jqr2AX6ULaXAxY/image;s=644x461,69 496,35bd8209-63df-46dc-81f3-866123682b42
144 580 km,Volvo,XC 40,2018,Diesel,190 CP,1 969 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Rosu,5,Metalizata,,,Da,Second hand,131 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjFlYWI2ZWc1OGl2ZjMtQVVUT1ZJVFJPIn0.LIpqm5FVnDny3CEEvs0VjyYzaKCjGTl9smDQW38PeS8/image;s=644x461,26 990,3276a5c7-ea50-4112-b38a-6d7d28f41a80
34 200 km,Porsche,Panamera,2022,Hibrid,440 CP,2 894 cm3,,Euro 6,Automata,Combi,5,Negru,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ino0cmVvczBrY2F1dTEtQVVUT1ZJVFJPIn0.qnyMTUUQg0MD-gU-8F5zrR_7bPE5A-LY3QYumWMfsZI/image;s=644x461,105 910,4a2b822e-0c46-4cb0-ae48-1228b0c476ef
246 000 km,Audi,A4,2012,Diesel,143 CP,1 968 cm3,Fata,Euro 5,Manuala,Combi,5,Negru,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imczdjh4ajl0Z2ZxODItQVVUT1ZJVFJPIn0.99dE1TR5c576V_kbCguG3KF4HTcvDK1X364r2cZK5sw/image;s=644x461,8 750,920bb15a-b320-4a97-b8bf-5a9dc8109b8c
179 000 km,Suzuki,SX4 S-Cross,2014,Diesel,120 CP,1 598 cm3,Fata,Euro 5b,Manuala,SUV,5,Alte culori,5,Metalizata,,Belgia,Da,Second hand,115 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im90azZmMnc0c2c3dTItQVVUT1ZJVFJPIn0.tPvjfLLZwYH6qjMfsudX7SDYByEYqJTQSxHGVTqxCb0/image;s=644x461,7 499,a45b0665-5f59-4d5b-8db6-76f654f1fd21
289 000 km,BMW,Seria 4,2014,Diesel,184 CP,1 995 cm3,Spate,Euro 6,Automata,Coupe,2,Albastru,4,Metalizata,,Franta,Da,Second hand,121 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InV5bDd4aHJib3ptMzMtQVVUT1ZJVFJPIn0.6TJDKFnr8eeGuzd_CLxyyiskWizLP6w11Ig29isj-j8/image;s=644x461,15 790,b066c6c6-4cd1-4532-8866-f86a16c09c88
3 km,Mercedes-Benz,GLA,2023,Benzina,224 CP,1 991 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Rosu,5,Metalizata,,,Da,Nou,179 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImM0eWY4ZGhhaXdlMzItQVVUT1ZJVFJPIn0.fmi_2BMwM27GO8olWUiY4bIfI-gKCsf_YpOvzqy_HNk/image;s=644x461,60 930,7dea92b4-3926-43f8-9972-29c29a766533
23 400 km,Opel,Crossland,2019,Benzina,110 CP,1 199 cm3,Fata,Euro 6,Automata,SUV,5,Albastru,5,Metalizata,,Austria,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InN0cnR3ZXYyZGE5by1BVVRPVklUUk8ifQ.7SxvoaP5PIo7jCMWc1RJJvoiuF4jt1IS1j1pbHKFSjc/image;s=320x240,14 800,182cfbae-e546-4c64-9a3e-cabcb8d9543e
228 000 km,Skoda,Fabia,2011,Diesel,75 CP,1 199 cm3,Fata,Euro 5,Manuala,Combi,5,Gri,5,Metalizata,,Olanda,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjBwem9nYm85c2tiaDEtQVVUT1ZJVFJPIn0.095N06qtyqGtMoB5LhbSES3PWW2SijM3oYmGb3LKJrQ/image;s=320x240,3 799,08f5a9f6-ba22-4855-8767-af0f36b72e6c
200 800 km,Ford,Focus,2011,Diesel,110 CP,1 560 cm3,Fata,Euro 5,Manuala,Combi,5,Negru,5,Metalizata,,Olanda,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImJpNWY0ZGJuc3pxMy1BVVRPVklUUk8ifQ.LfWg-U3VULSQZdR8ht3xjOP33m3nB4u0DuA2YMEUqi0/image;s=320x240,5 900,5d959ed3-bd97-4565-a252-792715d68427
99 600 km,BMW,Seria 8,2019,Diesel,320 CP,2 993 cm3,,Euro 6,Automata,Coupe,2,Alb,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im92dmk1OGdxdG13aTEtQVVUT1ZJVFJPIn0.0gBTl4O3AnY2U9uGH05ZwFG97miQsKuYNl34LaXSH8w/image;s=644x461,71 300,dcce374a-2b58-4652-966b-af274ef6f295
196 900 km,Audi,A6,2017,Diesel,190 CP,1 968 cm3,4x4 (automat),Euro 6,Automata,Sedan,5,Gri,5,,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijg0dWd1M2txOTlxMzItQVVUT1ZJVFJPIn0.4sqyMYuoruDeg1B0X9AMc0q1UGaj70XGJLUywruc6Qk/image;s=320x240,21 980,b3c26ad2-3734-4a11-b9cb-4142c708aa26
6 840 km,BMW,M4,2023,Benzina,510 CP,2 993 cm3,,Euro 6,Automata,Coupe,2,Negru,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9mOGhnYTZ5ajQ4YjEtQVVUT1ZJVFJPIn0.gEO8MKfQLlqRHlgbNjwWYzjsZuXcheLxfMrONJCCsOk/image;s=644x461,99 700,b58403c9-99c3-4901-a67d-db0760ccd32b
137 800 km,Skoda,Superb,2018,Benzina,280 CP,1 984 cm3,4x4 (automat),Euro 6,Automata,Combi,5,Negru,5,Metalizata,Da,Germania,Da,Second hand,88 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imh1bTBtbWhnZjc4bDEtQVVUT1ZJVFJPIn0.cVuoXe4f3o8A1CGb6xAIGl-hb_ySTil6Btfh1FWgTDs/image;s=644x461,17 998,eb0aeb88-f2e0-4c26-af39-41edeff9bc04
149 258 km,Ford,Ranger,2017,Diesel,200 CP,3 198 cm3,4x4 (manual),Euro 6,Manuala,SUV,4,Negru,5,Metalizata,Da,Germania,Da,Second hand,196 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjRvbmx5NGhsbXlyNjItQVVUT1ZJVFJPIn0.zlFYEE5LNDyKXjuA-9J1BpxPY_hJq6_nNfUm3PiE8tE/image;s=320x240,25 990,ce4ecb37-13f5-4acf-a226-c12c91f20ddf
262 000 km,BMW,Seria 7,2014,Diesel,313 CP,2 993 cm3,,,Automata,Sedan,4,Maro,5,Mat,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjMwNmx1enhvbmY3cC1BVVRPVklUUk8ifQ.yJdvDeEFC7ntiP3nkfec89BFBRjthmgbk685znm_KK4/image;s=320x240,25 500,d8be818d-fe0b-48c1-bf98-26a624f55544
1 785 km,Kia,Ceed,2021,Benzina,160 CP,1 482 cm3,Fata,Euro 6,Manuala,Masina mica,5,Gri,5,Metalizata,Da,Germania,Da,Second hand,128 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImJlZnJuamIwZjJlODEtQVVUT1ZJVFJPIn0.hjeVi3TVg55BVWEq6q_Xeqn-gHy2GhZvnwxGhP-2t9g/image;s=320x240,18 950,79ad5f4e-680e-437e-b3d9-c3c1a4c4df93
67 900 km,Volkswagen,Touareg,2021,Diesel,286 CP,2 967 cm3,,Euro 6,Automata,SUV,5,Albastru,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjNnMjBkMjB6Z3RuOTMtQVVUT1ZJVFJPIn0.4OWSHKOu-0plE5qbdw4f-AxaTFG4R-zMtAicsATpb7Q/image;s=644x461,64 800,7bd84176-15c7-4f24-a7fb-108b1eddccfc
129 900 km,Mercedes-Benz,GLE,2020,Diesel,330 CP,2 925 cm3,4x4 (automat),,Automata,Coupe,5,Alb,5,,Da,,,Second hand,161 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InNjMmg0YXZvaDVjNjItQVVUT1ZJVFJPIn0.w4N3pgOLyfdnElUOlUSxuWzLP30Bsl-qV9vGHba1xrA/image;s=644x461,78 528,3a6c9294-10bf-4ff3-a879-cc43eb754ced
1 km,Mercedes-Benz,GLS Maybach,2023,Benzina,600 CP,3 982 cm3,,,Automata,SUV,4,Argint,5,,Da,Romania,,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9teHN2eWNsNDJ4cTItQVVUT1ZJVFJPIn0.SyyF4LcaflbgryOcsXGWsdER-4togsu9GHeuEAd4hFs/image;s=320x240,274 804,007f15b9-1559-475d-85bf-02f94ac4fe46
210 900 km,Skoda,Octavia,2018,Benzina,150 CP,1 498 cm3,Fata,Euro 6,Automata,Combi,5,Negru,5,Metalizata,Da,Germania,Da,Second hand,99 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InNkcjlxYnkydzdpZjMtQVVUT1ZJVFJPIn0.VDEAf9NHPrgxBjHCa-KcssGaMdQAvttabaR9X5toYoU/image;s=644x461,11 998,d30b4b6e-d172-4697-b916-3b5c55a5dd1f
121 320 km,BMW,X5,2019,Benzina,340 CP,2 998 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Gri,5,Metalizata,Da,Germania,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imh5NXZscDJzb2F0NTItQVVUT1ZJVFJPIn0.hGxmalExAqo4q8xFupgFH2XQVy1D4qvSFQoWgyozwlw/image;s=320x240,56 999,c6452ac5-ce04-408c-b2b5-22063f7b5bd7
148 112 km,Toyota,Yaris,2013,Hibrid,75 CP,1 497 cm3,Fata,Euro 5,Automata,Masina de oras,5,Argint,5,Metalizata,,,,Second hand,79 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InY2aXYxdWpsc24yeDEtQVVUT1ZJVFJPIn0.i1jLh8HCMpLdiPlEESj5XwGF3TKRqLFs0GHNdvH5cv0/image;s=320x240,9 250,44847c1a-cb46-4559-b481-c2a4d9ba0fa2
149 281 km,Renault,Megane,2012,Benzina,115 CP,1 197 cm3,Fata,Euro 5,Manuala,Compacta,5,Gri,5,Metalizata,,,,Second hand,117 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im90czRhMXgzc3kzNy1BVVRPVklUUk8ifQ._0F3jG1FG3OmGUK0zhXLDZO5cZBQwfyULOGQd-LIO2g/image;s=320x240,5 950,65cb6a50-508c-44e6-a849-7365cf6a4721
681 km,BMW,X7,2023,Benzina,530 CP,4 395 cm3,4x4 (automat),Euro 6d,Automata,SUV,5,Gri,6,Perlat,,Germania,Da,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InRsaWtyZm94NzF4dzItQVVUT1ZJVFJPIn0.x2dDMME3ycGyFe5JejFyexV9dFBSixvJgS0Gm1m4mSk/image;s=320x240,144 585,ff53ebdb-8892-4b7c-b353-1df4ec6254e5
170 000 km,Seat,Leon,2018,Diesel,150 CP,1 968 cm3,Fata,Euro 6,Automata,Combi,5,Negru,5,Metalizata,Da,Franta,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImhlOG1lNGpwdG1hMjMtQVVUT1ZJVFJPIn0.UE2BC4ZO6y2F5jPcdeWL3V4K4Q_nG2nAAWOe1N9SqzE/image;s=644x461,12 495,3f152f23-0787-4c6f-b826-190cb5105ed6
144 214 km,Dacia,Duster,2013,Benzina,105 CP,1 598 cm3,4x4 (automat),Euro 5,Manuala,SUV,5,Gri,5,Metalizata,,Germania,,Second hand,122 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InYxdzk3ZnU4OWx4ZzItQVVUT1ZJVFJPIn0.KhZOBXGw1n0TiaHMCBrzvXh5zd5cpWhRM-OQQYF1kGk/image;s=320x240,8 750,6c3a8679-b2a1-482b-aeea-8ea6aa7b9941
209 246 km,Volvo,XC 60,2017,Diesel,150 CP,1 969 cm3,Fata,,Manuala,SUV,5,Gri,5,,Da,Belgia,Da,Second hand,131 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9nbmt4dHQ1OGRqYi1BVVRPVklUUk8ifQ.slpz95--sG-CRG0hOm5yNWb2R4wwZZy2W6yxOMRUDXY/image;s=320x240,13 850,a33bfdf6-1211-4f89-915d-70e82bb8dfa2
171 526 km,Nissan,Qashqai+2,2013,Diesel,150 CP,1 995 cm3,4x4 (manual),Euro 5,Automata,SUV,5,Negru,7,Metalizata,,Germania,,Second hand,123 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InhxNWpodmg1emthczItQVVUT1ZJVFJPIn0.bfBGKkr4qL6nM5qSi2Nx3-I8i1Q0bD_zlO_R7BOpNAY/image;s=320x240,10 650,3cef8962-999c-4f94-95d6-30fc583677aa
268 814 km,Audi,A5,2016,Diesel,190 CP,1 968 cm3,4x4 (automat),,Automata,Sedan,5,Negru,5,Perlat,,Germania,,Second hand,135 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImRmYnM4bGZqbDcyazEtQVVUT1ZJVFJPIn0.21_djlpyHt3GtI0TyTLW9gbV8YdxIa287Oozv0hgMkU/image;s=320x240,17 750,f98edca6-4ce4-45a4-99c5-d3e3f9f41660
114 990 km,Land Rover,Range Rover Sport,2019,Diesel,249 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Albastru,,Metalizata,Da,Romania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjByZmU4d2sxNmZwbDEtQVVUT1ZJVFJPIn0.Z7DiLFKWQWCKdcjVuIOJt7XttX6ZZLqy9h2HTsg0X9I/image;s=644x461,52 241,2a6bdf32-e1bb-4dc7-9f17-e9fdfc64e141
174 416 km,Hyundai,Tucson,2016,Diesel,185 CP,1 995 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Alb,5,Metalizata,,Germania,Da,Second hand,143 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InlrZHlvbHhuMjJlaDMtQVVUT1ZJVFJPIn0.JxIivUjtM8S0xKHnCrWs3RN3Gk7PNbRosSCcJbt6uVQ/image;s=320x240,17 950,69f2713b-7cef-4bd3-b4e5-b03816a3ac4e
107 814 km,Renault,Espace,2016,Diesel,160 CP,1 598 cm3,Fata,Euro 6,Automata,Monovolum,5,Gri,7,Metalizata,,Germania,Da,Second hand,123 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InZpa2JjbXdhYWF0ajEtQVVUT1ZJVFJPIn0.D6PZXgA-YuP7FMCUQz-JGVmTS5Naq2jMlOvTRv_qYyI/image;s=320x240,17 650,6f347cea-2766-4533-93c2-77517d208ef7
210 000 km,Volkswagen,Passat,2013,Diesel,140 CP,1 968 cm3,Fata,Euro 5,Automata,Combi,5,Rosu,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InR3dDI1eWpiMG9jdTEtQVVUT1ZJVFJPIn0.B3tAyto2Yiu9LF3EdT-vuiwsg8OcTAFVesCcRzj7anc/image;s=644x461,9 250,18889da2-6a3e-400a-82f8-f9e89f88f907
236 000 km,Ford,Mondeo,2012,Diesel,115 CP,1 596 cm3,Fata,Euro 5,Manuala,Sedan,5,Negru,5,Metalizata,Da,Olanda,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InN3MjlsMWFnOHNqZDEtQVVUT1ZJVFJPIn0.sBD8EZ2pDuhEmn2a19HepdZqU4KfDOyRaleBHBcw66o/image;s=320x240,6 900,f660f864-26d2-47fc-8a3e-b7a27ad43bd3
241 000 km,Audi,A5,2013,Diesel,204 CP,2 967 cm3,Fata,Euro 5,Automata,Sedan,5,Albastru,4,Metalizata,Da,,,Second hand,129 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InFweWJ1eXduOHdibDEtQVVUT1ZJVFJPIn0.XNQVCUjqXpqDV1QxobD4-Jsyxp8mbSxb-DnpLQjqYjA/image;s=320x240,13 700,81b98285-0547-43d5-ae41-cc3cca0acaeb
94 467 km,Hyundai,Tucson,2017,Diesel,185 CP,1 995 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Gri,5,Metalizata,,Germania,Da,Second hand,143 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjgxM2FuOTJpYjlkNjEtQVVUT1ZJVFJPIn0.qKcvoe5THR5oef8USBao_t7kxPwlLTF0B4JVAKyVdjU/image;s=320x240,22 950,3128531f-65df-489e-a17d-103ea6c24259
25 km,Audi,A8,2023,Hibrid,340 CP,2 995 cm3,4x4 (automat),Euro 6d,Automata,Sedan,4,Negru,5,Metalizata,,Romania,Da,Nou,50 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InZtNnJ4bjlsNnFvZDMtQVVUT1ZJVFJPIn0.C_It0DRR38AHygeSOhrz3GpS4pbxNdAYZMOxHnnEfCo/image;s=320x240,114 990,2af867bf-e830-4aa5-ba6f-20457f250692
331 000 km,Toyota,Prius,2012,Hibrid,99 CP,1 798 cm3,Fata,,Automata,Compacta,5,Albastru,5,Metalizata,Da,Olanda,,Second hand,92 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjY2NDFicGg5Yzdtay1BVVRPVklUUk8ifQ.yYJ7p5QWwl3YvftfnkaaeDin8S4CqIadGywf4lRZf-8/image;s=320x240,9 290,a35d9b68-9382-41d3-828a-dcfeb0bbc26b
168 000 km,Nissan,Qashqai,2008,Benzina,115 CP,1 598 cm3,Fata,Euro 4,Manuala,SUV,5,Argint,5,Metalizata,,Austria,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjBvbXd0YWRsd2FsYjEtQVVUT1ZJVFJPIn0.68h401jZSNBTCL9nmR7Eftm1VrdBomlt3T_0WqNJyB8/image;s=644x461,6 499,51998ccd-4ceb-4b93-a0b5-2d2e9ff2777e
54 980 km,Mercedes-Benz,CLS,2018,Diesel,286 CP,2 925 cm3,4x4 (manual),Euro 6,Automata,Coupe,4,Gri,5,Mat,Da,,,Second hand,152 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjFpOW94NGN2NHZ0MzItQVVUT1ZJVFJPIn0.odFOiYna6vKaWXp0NYAgV-l94MuqWk4vCKbhCkCLAY0/image;s=320x240,49 980,38fa6b13-80da-4546-bbb9-95f9bb10d11a
128 000 km,Hyundai,Tucson,2019,Benzina,132 CP,1 591 cm3,Fata,Euro 6,Manuala,SUV,5,Maro,5,Perlat,Da,,Da,Second hand,147 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InFkbWF6azJ4bXZubTEtQVVUT1ZJVFJPIn0._LCRGJ4doSEPHuuoCD5IMbSVae7h-wWogWxua7c_5Bs/image;s=320x240,16 800,1710525a-4f57-45da-b82d-0f77506c0990
180 200 km,Renault,Megane,2019,Diesel,110 CP,1 461 cm3,Fata,Euro 6,Manuala,Combi,5,Argint,5,Metalizata,Da,Franta,Da,Second hand,95 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjIybTdlNmczNHN6cjItQVVUT1ZJVFJPIn0.79x9ChZE7LW5YzJ8GxvUTuoqwPSe3F9Bz8HeHxgXKeM/image;s=644x461,10 990,a6d16dea-aa78-4fa9-a6db-9094ec169f14
188 000 km,Kia,Sportage,2017,Diesel,141 CP,1 685 cm3,,,Automata,SUV,5,Gri,5,,Da,,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImlmcTVkc3pwemNibzItQVVUT1ZJVFJPIn0.WPSuy_xkpvkUMppp-INlHgLAdyOpakpk6Fwib1hNP3Q/image;s=644x461,14 999,05761336-c0df-4031-a294-8e1c78efeb1c
176 281 km,Mercedes-Benz,CLA,2018,Diesel,109 CP,1 461 cm3,Fata,Euro 6,Automata,Sedan,4,Albastru,5,Metalizata,,Germania,Da,Second hand,98 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImIyZm5qYWIyN3FwOS1BVVRPVklUUk8ifQ.EDX-9s8ETe5Hu2I3_vYjBnr3AIxect5c3Is_gk0dCI4/image;s=320x240,19 999,2d30233c-f895-4db7-b503-95000f8d545a
135 000 km,Mercedes-Benz,C,2019,Diesel,122 CP,1 597 cm3,Fata,Euro 6,Automata,Combi,5,Negru,5,Metalizata,Da,Belgia,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imttamc2bnlmbTc0MDItQVVUT1ZJVFJPIn0.zj6XwKCwnqokSNDgJupCA5WHAxoqeOch05iIB4Bi1uI/image;s=320x240,18 700,3008f02a-cb68-4246-ac67-e4c46f506132
43 000 km,Audi,e-tron,2020,Electric,313 CP,,4x4 (automat),,Automata,SUV,5,Gri,5,Metalizata,Da,Belgia,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InB1andzdHc1dWg2Zy1BVVRPVklUUk8ifQ._xzIGkx_AdXCFrcP9MmeBDxX27S-bbkqW4aX2alSYeQ/image;s=320x240,42 900,ccb2de0b-3297-4b6c-8eaa-2afe52b0d504
194 600 km,Citroën,DS5,2013,Hibrid,163 CP,1 997 cm3,4x4 (manual),Euro 5,Automata,Compacta,5,Gri,5,Metalizata,,Olanda,Da,Second hand,90 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InVhdXN2djlvaTBsdDEtQVVUT1ZJVFJPIn0.zbNmlMo2vk6Wpwb47pmLEqrDuLElgJmZZeW6KtkNDAw/image;s=644x461,9 949,df96163b-90c6-4bb7-9a9d-429ebc2be230
