km,brand,model,year,fuel_type,power,cylinder_capacity,transmission,pollution_norm,gearbox,body_type,number_of_doors,color,number_of_seats,color_option,vin,country_of_origin,owned,vehicle_condition,co2_emission,path_images,price,ad_id
229 000 km,BMW,Seria 1,2015,Diesel,116 CP,1 598 cm3,Spate,Euro 5,Manuala,Compacta,5,Negru,5,Metalizata,,Belgia,,Second hand,99 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InVoNGdvcXJ1OHliZzMtQVVUT1ZJVFJPIn0.cW9PkrBR4PNygWsBkNx-PSYLRCp6LsYUbUB-ZJ79xPU/image;s=320x240,9 490,e64480ed-8b43-4d4f-9a32-19b4191e8575
61 000 km,Dacia,Sandero Stepway,2018,Benzina,90 CP,898 cm3,Fata,Euro 6,Manuala,Compacta,5,Maro,5,Metalizata,Da,Romania,Da,Second hand,127 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImE3aXdzaGlrYmk1YjMtQVVUT1ZJVFJPIn0.f3Ty7dV-ogavWPcnctPD5XwWxc1xXIkPyC9UBQGz_GY/image;s=320x240,8 189,4baaf020-130a-48e7-b595-915d68d712be
87 000 km,Dacia,Duster,2012,Diesel,90 CP,1 461 cm3,4x4 (manual),,Manuala,SUV,5,Alb,5,,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijg2MG9mYzBnZnNwbS1BVVRPVklUUk8ifQ.e6ZKdYnx__avCWYtq6s4a76Csd31eIHyMPZl920LnYM/image;s=644x461,8 999,36654a2c-6dff-4a04-9c3f-94d7c468ce74
132 000 km,Dacia,Duster,2016,Diesel,109 CP,1 461 cm3,4x4 (manual),Euro 5,Manuala,SUV,5,Gri,5,Metalizata,Da,Germania,,Second hand,123 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImwyaDd4dTQzeXgzbzEtQVVUT1ZJVFJPIn0.9durfjW2Oa-1ksJ14-qBuJwY3KYIy5tjc4zc4HiJ_mA/image;s=320x240,11 390,0f6f1616-7b5e-4b19-aad9-59167d856968
174 000 km,Mazda,CX-5,2013,Diesel,150 CP,2 191 cm3,4x4 (automat),,Manuala,SUV,5,Negru,5,,Da,,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im93bWMxbnQ0cW5xYjItQVVUT1ZJVFJPIn0.EAlcwXfYWRvMpCBy2-AntBv5aENKRq3xDUAQfkgqX3c/image;s=644x461,11 499,9a6547f1-d6be-4437-a063-67ed6930d5f6
139 000 km,Mazda,3,2006,Benzina,84 CP,1 349 cm3,,,Manuala,Compacta,5,Gri,,,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imlxb2FiaHkycXFpOTEtQVVUT1ZJVFJPIn0.83CiQMK1Ww2w0XqBSX0v7-W7e8GhhhMEHi5NjZsEWEE/image;s=644x461,3 499,1316ebc8-46e6-46e0-b860-75bf237ea8c8
186 992 km,Audi,A6,2014,Diesel,204 CP,2 967 cm3,Fata,Euro 5,Automata,Sedan,4,Gri,5,,,Germania,,Second hand,149 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InFyYzNpa3BnMDdsdzItQVVUT1ZJVFJPIn0.4lCY0goIZfrzoZnim0jf6YDF_2Z6_tdWSONAnoEcAlQ/image;s=644x461,14 999,c7b3be2b-dfa3-425c-83ed-ef82e9e95315
152 000 km,Hyundai,Santa Fe,2009,Diesel,150 CP,2 188 cm3,4x4 (manual),Euro 4,Automata,SUV,5,Argint,5,Metalizata,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijh3cjJvY3NnaW1ocTMtQVVUT1ZJVFJPIn0.abGkkrqRxrvSEV9xfRDCHZ9YnhW50lfRzyYk4Tm1f14/image;s=320x240,6 999,30de2c0f-28bc-4dd7-98da-d0402e0915df
192 000 km,Dacia,Sandero Stepway,2013,Benzina,90 CP,898 cm3,Fata,,Manuala,Masina de oras,5,Negru,5,,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im96amcyd2VpNWxqbDItQVVUT1ZJVFJPIn0.41z3lfMyPPN1FxBWZoIa8J6V9O4HRn0QPRk0Yu2KSYw/image;s=644x461,5 999,28cc951c-1ba0-407b-a7fb-8007c54ec1e6
102 136 km,Ford,Focus,2020,Diesel,120 CP,1 499 cm3,Fata,Euro 6,Automata,Sedan,4,Albastru,5,Metalizata,,Romania,Da,Second hand,103 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImtlcmgweDJ0dGY4MzEtQVVUT1ZJVFJPIn0.mKlY1KqSj1gyGSEv1oG3t5wNMlsDCuA4U6Rq88NIvjA/image;s=644x461,14 990,96440b22-aa64-4dfc-8bfa-905bbbcd7135
172 000 km,Smart,Fortwo,2012,Benzina,61 CP,999 cm3,,,Automata,Masina de oras,2,Alb,2,,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjFoZXpud2JraWV1MTItQVVUT1ZJVFJPIn0.d_Y67RxsVvwYQpw0fjTNxO44iFEifXajbHNWBI7bWyM/image;s=644x461,4 499,c14e865c-7113-4916-aafe-d4e680354a6f
144 000 km,Audi,A6,2016,Diesel,272 CP,2 967 cm3,4x4 (automat),Euro 6,Automata,Sedan,4,Albastru,5,Metalizata,Da,,Da,Second hand,133 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijl1cmhicXkzOXh6ejEtQVVUT1ZJVFJPIn0.ZLK4BsNfasmUrUjalrebsLgFZHk5Y1Vj3eUZ4iHOKaQ/image;s=320x240,23 500,c57c0d0b-a761-4905-9c17-c40d0ad3b7d8
1 950 km,Nissan,Juke,2023,Benzina,115 CP,999 cm3,Fata,Euro 6d,Automata,SUV,5,Albastru,5,Metalizata,,Germania,,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imh2eG0xbXdxOThzdDMtQVVUT1ZJVFJPIn0.cH3vKsIT8xQ5u9x67WHG0QaKyQRyhISxq6hwa2M9s_w/image;s=320x240,21 896,9c0ff61e-7dd8-4c03-82ff-1529545764ef
5 km,Mercedes-Benz,GLA,2023,Hibrid,160 CP,1 332 cm3,Fata,,Automata,SUV,5,Negru,,,Da,,,Nou,35 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjN1eWd5cjN6Z3ZkNjMtQVVUT1ZJVFJPIn0.Etn7zVftMuZOmAajg_1ZAHUkAv7l4VbCAxVVvMUYKZI/image;s=320x240,60 805,4c98feca-644e-457c-807e-a7032c9030ec
290 000 km,Volkswagen,Touran,2008,Diesel,140 CP,1 968 cm3,,,Automata,Monovolum,5,Negru,5,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjNvY3g3Z2FtYTN4cTMtQVVUT1ZJVFJPIn0.E2vwRoaQ0ZujnckYBNCLRHxlrqxjNFb5EpslUThDYXg/image;s=644x461,5 700,74ddd280-dfd8-49ee-b357-043148d6c1bd
6 000 km,Mercedes-Benz,SL,2022,Benzina,585 CP,3 982 cm3,4x4 (automat),Euro 6d,Automata,Cabrio,2,Gri,4,Perlat,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InV0cjFnbG4xNnl4ZzEtQVVUT1ZJVFJPIn0.ZpMOpRe1PjqCFC59AfWkjqBEHU4mTf41J5O_C30Yw-s/image;s=644x461,213 507,859a1a06-75cc-4c53-b644-af4f578fa53e
242 000 km,Mazda,5,2012,Diesel,115 CP,1 560 cm3,Fata,Euro 5,Manuala,Monovolum,5,Negru,5,Metalizata,,Germania,Da,Second hand,138 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImJncmd5ZjhpMGRwNjEtQVVUT1ZJVFJPIn0.-SRld-QNsTgFJLNr8iSVm8daAvvkRcTJfWdmM4cAisY/image;s=644x461,4 599,c18681f4-e909-479c-a72d-7e271ba88c4d
8 100 km,Mercedes-Benz,EQB,2022,Electric,228 CP,,4x4 (automat),Euro 6,Automata,SUV,5,Gri,,Metalizata,Da,,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjVma2gyamwzeTh2djEtQVVUT1ZJVFJPIn0.6aMiy0lEJDrqjzjnCqv5yNd_Cg2PUj7RFQ0GMPZdpYU/image;s=644x461,57 001,000148ee-347d-41ff-ac21-fa19c93ed304
155 000 km,Audi,A6,2018,Benzina,190 CP,1 798 cm3,Fata,Euro 6,Automata,Combi,5,Negru,5,Metalizata,Da,Germania,,Second hand,137 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InZ2NXQzdjV5eTk4bS1BVVRPVklUUk8ifQ.mja3h8AbFCTNiSq_0oMFx3_NXZMZcgg4HPB6GsEws1o/image;s=644x461,20 468,2a0c54e7-03a2-4ea6-82f0-ddc5a7227b60
22 000 km,Mercedes-Benz,EQS,2021,Electric,523 CP,,4x4 (automat),Euro 6d,Automata,Sedan,4,Argint,5,Metalizata,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im1zdXNqMXlsbnpvdTItQVVUT1ZJVFJPIn0.kzbkk16X7zHIKzgS-3GlkQMTShXYENprrJeu5mHoTHU/image;s=644x461,162 314,d7bded2c-ba90-4d53-a8d4-c2059bd7bcba
14 900 km,Mercedes-Benz,GLE Coupe,2023,Benzina,435 CP,2 999 cm3,4x4 (automat),Euro 6d,Automata,SUV,5,Alb,5,Metalizata,Da,Romania,Da,Second hand,240 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjdoNXl1eXVrOGIzMDItQVVUT1ZJVFJPIn0.qPYmtoP9bN5L4WQuEH_F8qMqoRK5KlMAPCZfeZ0bD4o/image;s=320x240,113 000,35b8c697-83be-4e99-9652-1b326aa48129
181 485 km,Renault,Kadjar,2018,Benzina,130 CP,1 197 cm3,Fata,,Automata,SUV,5,Alb,5,,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imk5bjUzaTk1M2Q0ZzItQVVUT1ZJVFJPIn0.XpvbBVKs0nCMRhlVLz67VhENgdPmKMPUbGB2YwXnDTw/image;s=320x240,13 250,c55cf35c-4863-4a09-86e9-ade7a24e0f87
203 000 km,Nissan,Qashqai+2,2011,Diesel,150 CP,1 995 cm3,4x4 (manual),,Manuala,SUV,5,Alb,7,,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImxyNHg2dHI2c2xzbzMtQVVUT1ZJVFJPIn0.wJCDzbHAgnMUO0xwZgpmZTpuT1AV7XeHHxMdkEsRRHQ/image;s=644x461,8 499,e192ee34-b1ba-423d-8479-9f7ab1d38b36
18 700 km,Audi,e-tron,2023,Electric,435 CP,,4x4 (automat),,Automata,SUV,5,Gri,,,,Romania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inp1ZWFvb2J5NmYyNS1BVVRPVklUUk8ifQ.U2T2ghBQth38Ah5axN-g6jjspm4ETbwId8YIU7eMHr8/image;s=320x240,64 260,669b272e-b292-46a9-9d8e-7b1af377653d
190 277 km,BMW,X5,2016,Diesel,258 CP,2 993 cm3,4x4 (automat),,Automata,SUV,5,Gri,7,,Da,,,Second hand,158 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InVoeXNwOG15aWx3YzItQVVUT1ZJVFJPIn0.vXmwK693i4dgqz_vNVWZKM3b_0L9fXRllqpvWyqy5pM/image;s=320x240,27 949,9ca91ded-8d9a-42e0-90ab-2e6c525cb80e
